Auction,Age,Make,Color,WheelType,Odo,Size,MMRAauction,MMRAretail,BadBuy
MANHEIM,6,MITSUBISHI,BEIGE,Alloy,66465,'MEDIUM SUV',4261,5102,YES
MANHEIM,6,GMC,BLUE,Covers,89079,'LARGE TRUCK',6056,9601,NO
MANHEIM,4,FORD,SILVER,Alloy,87265,LARGE,8651,9843,NO
OTHER,1,CHRYSLER,BLACK,Covers,51546,MEDIUM,7949,9085,NO
MANHEIM,8,DODGE,BLUE,Alloy,90478,'LARGE TRUCK',5441,8372,YES
MANHEIM,5,CHEVROLET,GREY,Alloy,62419,'MEDIUM SUV',7220,10838,YES
MANHEIM,6,BUICK,WHITE,Alloy,93659,MEDIUM,4032,7164,NO
MANHEIM,5,SUZUKI,RED,Alloy,72386,LARGE,3089,3836,YES
OTHER,6,HYUNDAI,BLACK,Alloy,71586,MEDIUM,2489,3188,YES
MANHEIM,3,PONTIAC,WHITE,Alloy,80498,LARGE,6468,7485,NO
MANHEIM,5,HYUNDAI,SILVER,Alloy,70245,'MEDIUM SUV',6201,7197,YES
ADESA,4,CHEVROLET,BLUE,Alloy,91216,VAN,3678,4472,NO
OTHER,7,FORD,SILVER,Alloy,93996,COMPACT,1894,2546,YES
MANHEIM,6,CHEVROLET,BLACK,Covers,84535,LARGE,3220,3978,YES
OTHER,1,DODGE,BLUE,Covers,41566,MEDIUM,7541,8644,NO
MANHEIM,3,DODGE,BLACK,Alloy,46030,'MEDIUM SUV',8080,9226,YES
OTHER,4,FORD,BEIGE,Alloy,99788,MEDIUM,4255,7552,NO
MANHEIM,6,FORD,SILVER,Covers,68494,VAN,3526,6915,YES
OTHER,7,CHEVROLET,MAROON,Alloy,70350,LARGE,3385,6355,YES
MANHEIM,3,CHEVROLET,RED,Alloy,64711,LARGE,7255,8335,YES
OTHER,2,SUZUKI,BEIGE,Covers,46247,MEDIUM,5451,6387,YES
ADESA,2,PONTIAC,RED,NULL,62337,MEDIUM,8546,9730,YES
ADESA,6,CHRYSLER,PURPLE,Covers,51978,MEDIUM,2910,3643,NO
MANHEIM,4,FORD,WHITE,Covers,87618,MEDIUM,3670,4464,YES
ADESA,6,FORD,BLUE,Covers,70679,VAN,2397,3089,NO
ADESA,3,CHEVROLET,BLACK,Covers,85392,LARGE,6826,7872,NO
MANHEIM,6,FORD,GREY,Alloy,97300,MEDIUM,3046,3790,NO
MANHEIM,5,CHEVROLET,BEIGE,Covers,89100,COMPACT,2604,3312,YES
MANHEIM,4,PONTIAC,SILVER,Alloy,81974,VAN,5086,5993,YES
OTHER,3,PONTIAC,BLUE,Alloy,47072,LARGE,6670,7704,NO
ADESA,2,DODGE,BLUE,Special,88442,'LARGE TRUCK',12050,13514,YES
MANHEIM,4,CHEVROLET,SILVER,Covers,73791,LARGE,6157,9826,NO
OTHER,5,DODGE,RED,Alloy,79610,'LARGE TRUCK',4597,5465,YES
MANHEIM,4,DODGE,GREEN,Alloy,66174,MEDIUM,3511,4292,NO
OTHER,1,DODGE,SILVER,NULL,52272,MEDIUM,7541,11548,YES
MANHEIM,9,CHEVROLET,WHITE,Covers,67903,VAN,2508,5328,YES
OTHER,4,DODGE,SILVER,Covers,69805,MEDIUM,6233,9421,YES
MANHEIM,1,DODGE,RED,Covers,47215,MEDIUM,7790,11786,NO
MANHEIM,6,FORD,SILVER,NULL,67934,COMPACT,2725,3443,YES
MANHEIM,3,FORD,WHITE,Alloy,88637,LARGE,6266,7267,YES
MANHEIM,3,DODGE,BLACK,Covers,87805,SPECIALTY,9713,13608,NO
OTHER,1,DODGE,SILVER,NULL,41293,MEDIUM,9835,13897,YES
OTHER,6,DODGE,BLUE,NULL,63544,MEDIUM,2434,3129,NO
OTHER,1,DODGE,BLACK,Covers,53828,MEDIUM,8456,9632,NO
OTHER,6,FORD,RED,NULL,77778,'MEDIUM SUV',5163,6076,YES
MANHEIM,4,DODGE,SILVER,Alloy,62456,MEDIUM,4496,5356,NO
OTHER,5,CHEVROLET,WHITE,NULL,78806,LARGE,3450,4226,YES
ADESA,5,CHEVROLET,RED,Alloy,76015,MEDIUM,5018,8302,NO
ADESA,4,CHEVROLET,WHITE,Covers,85557,MEDIUM,4949,5845,YES
MANHEIM,5,CHRYSLER,SILVER,Alloy,62738,MEDIUM,3819,7146,YES
MANHEIM,6,NISSAN,WHITE,Covers,74984,COMPACT,3729,6924,NO
MANHEIM,4,DODGE,WHITE,NULL,62385,MEDIUM,4370,7479,YES
MANHEIM,8,CHEVROLET,GREEN,Covers,63798,MEDIUM,1970,4606,YES
OTHER,8,PONTIAC,SILVER,NULL,45584,VAN,2618,5581,YES
MANHEIM,6,SATURN,GREY,NULL,82580,MEDIUM,4565,7530,YES
ADESA,4,FORD,GREY,Alloy,88757,'SMALL SUV',8715,9912,YES
MANHEIM,4,FORD,WHITE,Covers,87377,VAN,6245,9870,NO
OTHER,3,CHEVROLET,GOLD,Covers,74672,MEDIUM,6878,10365,NO
OTHER,1,DODGE,RED,Covers,46680,MEDIUM,6820,7866,NO
MANHEIM,3,ISUZU,BLACK,Alloy,61625,'SMALL TRUCK',9750,13537,YES
MANHEIM,5,CHEVROLET,SILVER,Alloy,76530,'MEDIUM SUV',7134,8205,YES
MANHEIM,6,PONTIAC,BLACK,Covers,68727,MEDIUM,3038,3781,YES
OTHER,5,PONTIAC,RED,Covers,89888,LARGE,4632,8151,NO
OTHER,2,DODGE,SILVER,Covers,46462,MEDIUM,7811,11114,NO
OTHER,4,CHEVROLET,BEIGE,NULL,93961,'LARGE TRUCK',11653,15584,YES
MANHEIM,3,FORD,GREEN,Covers,76052,MEDIUM,4460,5317,NO
ADESA,4,CHRYSLER,GOLD,Covers,71436,SPECIALTY,8529,11877,NO
OTHER,4,CHEVROLET,SILVER,Alloy,63067,'LARGE TRUCK',6204,7200,NO
OTHER,3,FORD,SILVER,Covers,72438,COMPACT,5246,8760,NO
MANHEIM,3,PONTIAC,GOLD,Covers,85959,LARGE,8541,12202,YES
MANHEIM,8,SATURN,SILVER,Alloy,98497,COMPACT,1788,2431,YES
MANHEIM,8,NISSAN,BLUE,Alloy,85973,LARGE,4209,7158,NO
OTHER,5,CHEVROLET,WHITE,Covers,81416,LARGE,4176,7721,NO
ADESA,7,FORD,BEIGE,NULL,73527,'LARGE SUV',6786,10175,YES
MANHEIM,6,FORD,GOLD,Alloy,71648,COMPACT,2924,3658,YES
MANHEIM,6,DODGE,WHITE,Alloy,84613,'SMALL TRUCK',4910,5803,YES
ADESA,4,CHEVROLET,GREY,Covers,38982,COMPACT,4588,7301,NO
MANHEIM,6,FORD,GREY,Alloy,79875,'MEDIUM SUV',4833,8218,YES
OTHER,2,JEEP,BLACK,Alloy,58233,'SMALL SUV',9553,13569,YES
MANHEIM,6,CHRYSLER,BLUE,NULL,39661,MEDIUM,3876,4686,NO
MANHEIM,4,DODGE,WHITE,Covers,59603,MEDIUM,4586,5453,YES
ADESA,5,NISSAN,BLUE,Alloy,71659,LARGE,7432,8527,NO
MANHEIM,4,FORD,WHITE,Alloy,84648,'LARGE SUV',9598,10866,YES
ADESA,8,CHRYSLER,BLUE,Covers,72401,MEDIUM,3041,5763,YES
ADESA,2,FORD,GOLD,Alloy,80995,COMPACT,7241,8320,NO
ADESA,3,FORD,WHITE,NULL,84935,MEDIUM,4472,5330,YES
OTHER,6,CHEVROLET,MAROON,NULL,95846,LARGE,3201,3957,YES
ADESA,5,KIA,SILVER,Alloy,58284,MEDIUM,3950,7259,NO
MANHEIM,6,FORD,BLUE,Alloy,86061,COMPACT,2889,3620,NO
MANHEIM,6,HONDA,SILVER,Alloy,75700,'LARGE SUV',9050,13173,YES
ADESA,5,FORD,SILVER,Covers,67583,VAN,3094,3842,NO
ADESA,3,CHRYSLER,BLUE,Covers,83256,MEDIUM,6978,10725,YES
MANHEIM,2,CHEVROLET,PURPLE,Covers,88005,LARGE,7513,8614,NO
MANHEIM,4,CHRYSLER,SILVER,NULL,68558,CROSSOVER,0,0,YES
MANHEIM,2,MERCURY,GREY,Alloy,73210,MEDIUM,10516,14688,NO
MANHEIM,2,KIA,BLUE,Covers,65989,COMPACT,6764,9252,NO
OTHER,2,DODGE,BEIGE,Covers,53598,MEDIUM,7293,10856,NO
MANHEIM,5,FORD,BEIGE,Alloy,72931,LARGE,5911,9992,YES
MANHEIM,3,CHEVROLET,SILVER,Covers,79364,MEDIUM,6739,9666,YES
MANHEIM,5,DODGE,BLUE,Alloy,95361,COMPACT,3520,6341,YES
MANHEIM,4,TOYOTA,SILVER,Alloy,73840,MEDIUM,6688,9964,NO
ADESA,4,CHEVROLET,WHITE,Covers,78853,LARGE,6347,9595,NO
MANHEIM,3,CHEVROLET,BLACK,Covers,45844,COMPACT,5533,9129,YES
MANHEIM,7,FORD,RED,NULL,79881,'SMALL SUV',4285,5128,YES
MANHEIM,4,FORD,SILVER,Alloy,87218,LARGE,7485,10756,NO
ADESA,4,DODGE,MAROON,Covers,86242,'LARGE TRUCK',5590,6537,YES
ADESA,5,CHEVROLET,WHITE,NULL,76035,LARGE,4482,5341,YES
OTHER,5,DODGE,BLUE,Alloy,66685,'MEDIUM SUV',7931,11926,NO
ADESA,9,HYUNDAI,GREY,NULL,86870,MEDIUM,1478,3241,YES
OTHER,5,DODGE,BLUE,Alloy,89990,VAN,5583,6530,YES
ADESA,3,CHEVROLET,SILVER,Covers,69828,COMPACT,5564,8682,NO
MANHEIM,5,HONDA,SILVER,Covers,87748,MEDIUM,7307,8392,NO
ADESA,4,CHEVROLET,SILVER,Alloy,76579,MEDIUM,5576,9215,NO
ADESA,6,PONTIAC,GOLD,Alloy,80743,VAN,3984,7774,NO
MANHEIM,4,TOYOTA,WHITE,Covers,89134,COMPACT,6665,10047,NO
OTHER,3,DODGE,GREEN,Covers,68903,MEDIUM,5480,6418,NO
MANHEIM,5,FORD,GOLD,Alloy,73693,'LARGE SUV',8681,9875,YES
MANHEIM,7,DODGE,WHITE,Alloy,68193,'SMALL TRUCK',2707,3424,YES
MANHEIM,3,KIA,BLUE,Covers,54577,MEDIUM,5500,8874,NO
OTHER,4,CHEVROLET,SILVER,Covers,74003,COMPACT,5369,8612,NO
MANHEIM,6,FORD,SILVER,Alloy,83654,SPORTS,5019,8218,YES
ADESA,4,SUZUKI,BLACK,NULL,55109,'MEDIUM SUV',7057,10843,YES
MANHEIM,6,DODGE,RED,Alloy,70166,VAN,3898,4710,YES
ADESA,4,CHRYSLER,BLACK,NULL,51917,MEDIUM,4188,7754,YES
MANHEIM,4,DODGE,BLACK,Alloy,61618,COMPACT,3647,4439,NO
OTHER,3,DODGE,WHITE,Covers,84778,MEDIUM,6104,9851,NO
MANHEIM,4,JEEP,WHITE,Alloy,70330,'MEDIUM SUV',8787,9990,YES
OTHER,1,KIA,BLACK,Covers,40720,MEDIUM,7468,9890,NO
MANHEIM,2,KIA,BLUE,Covers,39756,MEDIUM,7309,8394,NO
MANHEIM,4,CHEVROLET,SILVER,Alloy,81697,MEDIUM,5450,6386,NO
MANHEIM,8,SATURN,GREEN,Covers,55520,COMPACT,2203,4520,YES
MANHEIM,8,ISUZU,BLUE,Covers,70738,'MEDIUM SUV',2804,3528,NO
MANHEIM,2,FORD,GOLD,Alloy,80002,LARGE,8032,9175,NO
MANHEIM,4,JEEP,GREY,Alloy,73779,'MEDIUM SUV',9303,10547,NO
MANHEIM,5,FORD,BEIGE,Alloy,84636,'MEDIUM SUV',7265,11518,YES
MANHEIM,5,CHEVROLET,YELLOW,Alloy,54617,COMPACT,3194,5937,NO
ADESA,4,KIA,GOLD,Covers,51868,MEDIUM,4837,8384,NO
MANHEIM,7,FORD,GREY,Alloy,82320,COMPACT,3130,3880,YES
OTHER,4,HYUNDAI,BLUE,NULL,54836,MEDIUM,6910,10335,YES
ADESA,6,CHEVROLET,SILVER,Covers,95714,MEDIUM,2931,5981,YES
OTHER,1,CHRYSLER,RED,Covers,50912,MEDIUM,7220,8298,YES
MANHEIM,5,CHEVROLET,BEIGE,Alloy,79713,'LARGE TRUCK',4809,5694,NO
OTHER,4,KIA,GREY,NULL,77702,MEDIUM,4687,7759,YES
MANHEIM,6,CHRYSLER,BLUE,Alloy,72062,CROSSOVER,6854,10292,YES
MANHEIM,2,CHEVROLET,GREY,Covers,81814,LARGE,7900,11722,NO
MANHEIM,5,FORD,BROWN,Alloy,81076,MEDIUM,3709,4506,YES
ADESA,3,CHRYSLER,BLUE,Alloy,49507,MEDIUM,8533,12425,YES
MANHEIM,8,SATURN,GREY,Covers,75548,COMPACT,1639,2270,NO
OTHER,2,CHEVROLET,SILVER,Alloy,80029,LARGE,8186,9341,NO
ADESA,4,FORD,BLACK,Alloy,77102,COMPACT,4686,5561,NO
MANHEIM,4,HYUNDAI,BLACK,Covers,66796,COMPACT,4737,8076,NO
MANHEIM,6,CHRYSLER,WHITE,Alloy,89520,VAN,2866,3595,YES
OTHER,2,DODGE,WHITE,Covers,51061,MEDIUM,0,0,NO
MANHEIM,5,JEEP,WHITE,Alloy,81812,'MEDIUM SUV',9425,12800,YES
MANHEIM,5,PONTIAC,SILVER,Alloy,88709,MEDIUM,4972,8120,NO
MANHEIM,3,FORD,BLUE,Alloy,93988,LARGE,6017,6998,NO
OTHER,1,CHEVROLET,BLACK,Alloy,82435,'MEDIUM SUV',13303,14867,NO
MANHEIM,4,CHRYSLER,GOLD,Covers,55612,MEDIUM,5454,8421,NO
OTHER,4,CHEVROLET,ORANGE,NULL,86125,MEDIUM,5906,10268,YES
MANHEIM,6,SUZUKI,BLUE,Covers,74494,COMPACT,2819,5754,YES
MANHEIM,5,DODGE,BLUE,Alloy,81296,'LARGE TRUCK',9620,10890,NO
OTHER,1,KIA,SILVER,Covers,42838,MEDIUM,7477,10330,NO
MANHEIM,4,SUZUKI,SILVER,Covers,74243,MEDIUM,4140,7536,YES
MANHEIM,6,DODGE,SILVER,Alloy,68989,'MEDIUM SUV',3792,4595,NO
MANHEIM,4,CHEVROLET,WHITE,Alloy,83620,VAN,7517,12209,NO
MANHEIM,6,CHEVROLET,WHITE,Alloy,87041,'MEDIUM SUV',7005,11096,YES
MANHEIM,5,DODGE,BLUE,Alloy,85260,VAN,4395,7355,NO
MANHEIM,6,DODGE,BLUE,Covers,91751,MEDIUM,3913,7117,YES
OTHER,4,CHEVROLET,SILVER,NULL,83073,MEDIUM,5658,9011,YES
MANHEIM,7,CHRYSLER,SILVER,Covers,89716,VAN,2416,5760,YES
OTHER,5,FORD,RED,NULL,63071,COMPACT,3261,6500,YES
ADESA,4,CHEVROLET,BLACK,Alloy,71434,MEDIUM,6014,9584,NO
MANHEIM,8,FORD,WHITE,Alloy,68506,'SMALL SUV',4253,7214,YES
OTHER,4,JEEP,SILVER,Alloy,62336,'SMALL SUV',8357,11697,NO
MANHEIM,6,FORD,RED,Alloy,86973,'MEDIUM SUV',7080,11028,YES
MANHEIM,4,CHEVROLET,WHITE,Alloy,61845,'LARGE TRUCK',7558,8663,NO
OTHER,7,NISSAN,GREEN,NULL,77857,MEDIUM,4487,5346,YES
ADESA,4,CHEVROLET,GREY,Covers,87236,MEDIUM,5907,9217,YES
OTHER,4,CHEVROLET,SILVER,Covers,77479,MEDIUM,4123,4953,YES
OTHER,6,MAZDA,RED,Covers,58199,MEDIUM,4382,7661,YES
MANHEIM,2,CHEVROLET,SILVER,Alloy,61089,LARGE,8186,9341,YES
OTHER,6,JEEP,BEIGE,NULL,73284,'SMALL SUV',5464,8148,YES
ADESA,4,PONTIAC,BLUE,Alloy,82685,LARGE,6549,10013,NO
MANHEIM,2,JEEP,GOLD,Alloy,52722,'SMALL SUV',8894,13598,NO
MANHEIM,4,CHEVROLET,SILVER,Covers,76867,COMPACT,4288,7512,YES
MANHEIM,3,CHEVROLET,BEIGE,Covers,72958,LARGE,7330,11597,YES
MANHEIM,3,CHEVROLET,RED,Alloy,65843,COMPACT,5734,9236,NO
MANHEIM,7,FORD,SILVER,Covers,83423,COMPACT,1772,2414,NO
ADESA,3,PONTIAC,WHITE,Covers,89443,MEDIUM,6976,10513,YES
MANHEIM,6,FORD,GREY,Alloy,82643,MEDIUM,0,0,NO
MANHEIM,4,CHRYSLER,BLUE,Alloy,83843,MEDIUM,5174,9281,NO
MANHEIM,5,CHEVROLET,GREEN,Alloy,81260,MEDIUM,4924,8145,NO
OTHER,4,CHRYSLER,SILVER,Covers,75964,MEDIUM,4739,8318,NO
OTHER,2,CHEVROLET,YELLOW,Covers,40284,COMPACT,5864,6833,NO
OTHER,7,GMC,GOLD,Alloy,93776,'MEDIUM SUV',6626,10999,YES
MANHEIM,6,BUICK,SILVER,Alloy,66495,LARGE,4390,5241,NO
MANHEIM,4,CHRYSLER,SILVER,Covers,64781,MEDIUM,4904,8534,YES
MANHEIM,4,PONTIAC,GREY,Covers,61655,MEDIUM,6414,9177,YES
MANHEIM,4,DODGE,BLUE,Alloy,94334,'SMALL TRUCK',8101,12392,NO
MANHEIM,7,BUICK,BLUE,NULL,71823,MEDIUM,2965,6180,YES
MANHEIM,6,FORD,WHITE,Alloy,86357,MEDIUM,2787,3510,NO
MANHEIM,3,CHEVROLET,WHITE,Alloy,86340,COMPACT,0,0,NO
MANHEIM,3,HYUNDAI,BLACK,Covers,68830,MEDIUM,5302,6226,NO
MANHEIM,6,FORD,WHITE,Covers,57567,'MEDIUM SUV',4707,5584,NO
MANHEIM,3,BUICK,BLACK,Covers,79692,LARGE,9200,10436,NO
ADESA,6,CHEVROLET,GREY,Covers,79998,LARGE,3242,6671,NO
OTHER,5,CHEVROLET,BROWN,Covers,74949,VAN,4020,4842,NO
OTHER,3,FORD,BLACK,Alloy,85675,LARGE,10033,11336,NO
OTHER,4,CHEVROLET,GOLD,Covers,68314,COMPACT,4389,7990,NO
OTHER,4,CHEVROLET,WHITE,Covers,79639,VAN,8301,9465,YES
OTHER,7,NISSAN,RED,Alloy,87467,'MEDIUM SUV',6724,10264,YES
ADESA,7,DODGE,GREEN,Alloy,78848,'MEDIUM SUV',4267,5108,YES
MANHEIM,6,NISSAN,WHITE,Alloy,87343,'MEDIUM SUV',8302,12220,NO
MANHEIM,2,CHRYSLER,BLUE,Covers,53189,CROSSOVER,9931,11225,NO
MANHEIM,3,FORD,BLUE,Alloy,75122,LARGE,6741,7780,NO
OTHER,2,DODGE,BLACK,NULL,49033,MEDIUM,7516,11093,YES
MANHEIM,3,CHEVROLET,BLACK,Alloy,97017,MEDIUM,7751,11288,YES
MANHEIM,5,FORD,WHITE,Covers,94850,'SMALL TRUCK',4020,7561,YES
OTHER,8,SATURN,RED,Covers,88976,MEDIUM,2749,3469,NO
ADESA,4,KIA,SILVER,Alloy,56381,MEDIUM,2911,3644,NO
MANHEIM,1,DODGE,BLUE,Alloy,46336,MEDIUM,8356,9524,YES
MANHEIM,4,DODGE,BLUE,NULL,78091,VAN,3376,4146,YES
MANHEIM,5,FORD,SILVER,Alloy,84057,'LARGE TRUCK',10596,14677,YES
OTHER,3,CHEVROLET,BLACK,NULL,65579,COMPACT,5674,8943,YES
MANHEIM,4,MITSUBISHI,GREY,Alloy,68168,MEDIUM,5125,6035,NO
MANHEIM,3,DODGE,BLUE,Covers,52171,VAN,6003,6983,NO
ADESA,3,PONTIAC,WHITE,Alloy,82457,LARGE,6007,10097,YES
MANHEIM,3,CHRYSLER,BEIGE,Covers,61410,MEDIUM,8034,11419,YES
ADESA,3,CHRYSLER,WHITE,Covers,59545,MEDIUM,6886,10554,YES
MANHEIM,6,FORD,GREEN,Alloy,70140,'MEDIUM SUV',5328,6254,YES
MANHEIM,4,CHRYSLER,WHITE,Covers,75728,MEDIUM,4393,8038,YES
MANHEIM,9,MAZDA,BLUE,Covers,98501,MEDIUM,2853,5510,YES
OTHER,1,DODGE,WHITE,Covers,46992,MEDIUM,9066,12599,NO
MANHEIM,6,PONTIAC,GREEN,Alloy,85940,LARGE,4465,7627,NO
MANHEIM,4,MERCURY,SILVER,Alloy,63210,'MEDIUM SUV',11811,16369,YES
MANHEIM,3,DODGE,WHITE,Covers,59008,SPECIALTY,9230,12731,NO
MANHEIM,5,HONDA,GREY,Covers,64786,MEDIUM,7285,10016,NO
MANHEIM,3,PONTIAC,GREY,Alloy,77115,MEDIUM,7904,11871,NO
ADESA,4,SCION,BLUE,Covers,52315,MEDIUM,5371,9306,NO
ADESA,4,FORD,BLACK,Alloy,66947,LARGE,8651,9843,NO
ADESA,5,CHRYSLER,PURPLE,NULL,52425,MEDIUM,4413,7902,YES
OTHER,1,DODGE,WHITE,Covers,43641,MEDIUM,7769,8891,NO
MANHEIM,9,CHRYSLER,GREY,Alloy,86935,MEDIUM,2934,5275,YES
MANHEIM,4,CHRYSLER,RED,Covers,57072,MEDIUM,4743,8327,NO
MANHEIM,4,FORD,WHITE,Alloy,86783,'LARGE TRUCK',7086,13688,YES
ADESA,4,PONTIAC,GOLD,NULL,60190,MEDIUM,3780,4582,YES
MANHEIM,6,MAZDA,GREY,Alloy,57320,MEDIUM,4377,7769,YES
MANHEIM,4,KIA,SILVER,Alloy,91005,COMPACT,4339,7363,YES
OTHER,2,DODGE,BLACK,Covers,51723,MEDIUM,0,0,NO
ADESA,5,SATURN,BLUE,Alloy,50992,'MEDIUM SUV',5740,6699,YES
ADESA,3,DODGE,BLUE,Alloy,76085,'LARGE TRUCK',9311,10556,NO
MANHEIM,3,DODGE,WHITE,Covers,43276,MEDIUM,5480,6418,NO
OTHER,6,CHEVROLET,MAROON,NULL,77855,'MEDIUM SUV',5915,9827,YES
MANHEIM,4,PONTIAC,GREY,Covers,70791,MEDIUM,3882,4693,NO
MANHEIM,2,DODGE,GREY,Covers,50151,MEDIUM,7827,8953,YES
MANHEIM,8,DODGE,WHITE,Alloy,68541,'SMALL TRUCK',3465,4242,YES
MANHEIM,8,DODGE,MAROON,Alloy,93110,VAN,3190,6532,YES
MANHEIM,4,DODGE,RED,Covers,68593,VAN,6077,10029,YES
MANHEIM,5,VOLKSWAGEN,BLUE,Alloy,57537,SPECIALTY,8656,12662,NO
MANHEIM,7,CHEVROLET,WHITE,Covers,89451,MEDIUM,2529,3231,YES
MANHEIM,3,MITSUBISHI,BLUE,Alloy,41268,'MEDIUM SUV',8210,9367,NO
MANHEIM,6,CHEVROLET,GREY,Alloy,96451,'MEDIUM SUV',6631,9931,NO
OTHER,5,FORD,SILVER,Alloy,95836,MEDIUM,0,0,NO
ADESA,4,DODGE,BLUE,NULL,69695,MEDIUM,4249,7329,YES
ADESA,4,DODGE,SILVER,Alloy,83465,'MEDIUM SUV',8441,9616,NO
ADESA,4,DODGE,WHITE,Alloy,53572,'SMALL TRUCK',6972,8030,NO
MANHEIM,7,FORD,SILVER,Covers,65484,VAN,2456,3152,YES
MANHEIM,6,MERCURY,BLACK,Alloy,80773,'MEDIUM SUV',7264,11122,NO
MANHEIM,5,JEEP,BLUE,Alloy,59478,'SMALL SUV',6144,7136,YES
MANHEIM,9,LINCOLN,BLUE,NULL,62327,LARGE,3485,6395,NO
ADESA,2,HONDA,WHITE,Alloy,97267,COMPACT,12556,16141,YES
MANHEIM,3,SATURN,SILVER,Covers,58986,MEDIUM,5904,6876,YES
MANHEIM,2,CHEVROLET,WHITE,Alloy,72846,LARGE,8340,11716,NO
ADESA,4,CHRYSLER,BLUE,Alloy,80434,MEDIUM,5076,5982,NO
OTHER,4,DODGE,SILVER,Alloy,69513,VAN,4856,5744,NO
OTHER,4,CHRYSLER,BLUE,NULL,52546,MEDIUM,4578,5444,YES
OTHER,3,CHEVROLET,GREY,Covers,63138,LARGE,6858,7907,NO
MANHEIM,6,MITSUBISHI,BLUE,Covers,77254,CROSSOVER,4400,5252,NO
MANHEIM,8,CHEVROLET,BEIGE,Covers,93575,COMPACT,1928,4656,YES
OTHER,2,CHEVROLET,WHITE,Alloy,72110,LARGE,8186,9341,NO
OTHER,3,DODGE,BLUE,Covers,58915,MEDIUM,6484,9915,NO
MANHEIM,6,JEEP,SILVER,Covers,51676,'SMALL SUV',4870,5760,YES
ADESA,4,CHEVROLET,WHITE,Alloy,80736,'MEDIUM SUV',6742,11068,NO
MANHEIM,3,CHEVROLET,WHITE,Covers,70481,LARGE,8015,11537,NO
ADESA,6,CHRYSLER,RED,Covers,60522,MEDIUM,4196,7137,YES
MANHEIM,7,FORD,WHITE,Covers,55899,'SMALL TRUCK',3268,4029,NO
OTHER,2,CHRYSLER,WHITE,Covers,59221,MEDIUM,6444,9853,YES
ADESA,5,CHEVROLET,GREY,Alloy,79012,MEDIUM,5466,6403,NO
MANHEIM,3,HONDA,GREY,Alloy,77223,COMPACT,10796,12160,YES
MANHEIM,5,DODGE,BLUE,Special,81557,'LARGE TRUCK',8395,9567,YES
ADESA,6,FORD,SILVER,Alloy,86883,'MEDIUM SUV',5237,8713,YES
MANHEIM,3,CHEVROLET,GREY,Covers,61267,MEDIUM,7274,11051,YES
MANHEIM,5,CHRYSLER,SILVER,Covers,63057,MEDIUM,3114,7573,NO
MANHEIM,7,FORD,SILVER,Alloy,67621,SPORTS,5912,9012,YES
MANHEIM,8,MERCURY,GREEN,Covers,81459,LARGE,4222,7395,YES
